source_input,pair_name,Depth,Number of Words,Example,Counter-Example,Decoding Algorithm,Beam Width Level,Contrastive Penalty Level,metric,n,mean,sample_std,min,max,range_width,coefficient_of_variation
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,contrastive,0,-1,Recall,5,0.409091,0.0,0.409091,0.409091,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,greedy,0,0,Recall,5,0.409091,0.0,0.409091,0.409091,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,-1,1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,-1,1,beam,1,0,Recall,5,0.772727,0.0,0.772727,0.772727,0.0,0.0
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,-1,1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,1,-1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,1,-1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,1,-1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,1,-1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,1,1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,1,1,contrastive,0,-1,Recall,4,0.0,0.0,0.0,0.0,0.0,
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-olmo-current/aggregated/algo3/allenai__Olmo-3-7B-Instruct/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,1,1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,
