algorithm,model,baseline_strategy,metric,source_file,source_row,baseline_repetition,k,llm_metric,baseline_metric,delta,graph_source,pair_name,decoding_algorithm
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,2,1.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,2,2.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,2,3.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,2,4.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,2,,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,3,0.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,3,1.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,3,2.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,3,3.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,3,4.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,wordnet-ontology-match,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,3,,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,4,0.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,4,1.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,4,2.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,4,3.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,4,4.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,wordnet-ontology-match,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,4,,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,5,0.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,5,1.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,5,2.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,5,3.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,5,4.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,wordnet-ontology-match,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_00/raw_row.json,5,,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,6,0.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,6,1.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,6,2.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,6,3.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,6,4.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,6,,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,7,0.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,7,1.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,7,2.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,7,3.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,7,4.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,7,,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,8,0.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,8,1.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,8,2.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,8,3.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,8,4.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,8,,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,9,0.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,9,1.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,9,2.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,9,3.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,9,4.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,wordnet-ontology-match,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,9,,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,10,0.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,10,1.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,10,2.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,10,3.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,10,4.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,wordnet-ontology-match,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,10,,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,11,0.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,11,1.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,11,2.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,11,3.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,random-k,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,11,4.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,Qwen/Qwen3.5-9B,wordnet-ontology-match,recall,runs/algo3/Qwen__Qwen3.5-9B/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_01/raw_row.json,11,,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,12,0.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,12,1.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,12,2.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,12,3.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,12,4.0,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/babs_johnson/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,12,,0,0.0,0.0,0.0,babs_johnson,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,13,0.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,13,1.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,13,2.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,13,3.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,13,4.0,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/clarice_starling/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,13,,0,0.0,0.0,0.0,clarice_starling,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,14,0.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,14,1.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,14,2.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,14,3.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,random-k,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,14,4.0,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
algo3,mistralai/Ministral-3-8B-Instruct-2512,wordnet-ontology-match,recall,runs/algo3/mistralai__Ministral-3-8B-Instruct-2512/beam_num_beams_6/philip_marlowe/subgraph_1_to_subgraph_3/000/rep_02/raw_row.json,14,,0,0.0,0.0,0.0,philip_marlowe,subgraph_1_to_subgraph_3,beam
