source_input,pair_name,Depth,Number of Words,Example,Counter-Example,Decoding Algorithm,Beam Width Level,Contrastive Penalty Level,metric,n,mean,sample_std,min,max,range_width,coefficient_of_variation,relative_half_width_target,z_score,precision_margin,required_total_runs,additional_runs_needed,requirement_status
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,-1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,-1,1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,-1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,1,beam,-1,0,Recall,4,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,4,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,1,beam,1,0,Recall,4,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,4,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,1,contrastive,0,-1,Recall,3,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,3,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,-1,1,1,1,greedy,0,0,Recall,4,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,4,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,beam,-1,0,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0,0.05,1.96,0.011363650000000001,5,0,satisfied
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,contrastive,0,-1,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0,0.05,1.96,0.011363650000000001,5,0,satisfied
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,-1,greedy,0,0,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0,0.05,1.96,0.011363650000000001,5,0,satisfied
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,beam,-1,0,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0,0.05,1.96,0.011363650000000001,5,0,satisfied
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,contrastive,0,-1,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0,0.05,1.96,0.011363650000000001,5,0,satisfied
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,-1,1,greedy,0,0,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0,0.05,1.96,0.011363650000000001,5,0,satisfied
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,-1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,1,beam,-1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,1,contrastive,0,-1,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,-1,1,1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,-1,-1,beam,1,0,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0,0.05,1.96,0.011363650000000001,5,0,satisfied
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,-1,-1,greedy,0,0,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0,0.05,1.96,0.011363650000000001,5,0,satisfied
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,-1,1,beam,1,0,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0,0.05,1.96,0.011363650000000001,5,0,satisfied
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,-1,1,greedy,0,0,Recall,5,0.227273,0.0,0.227273,0.227273,0.0,0.0,0.05,1.96,0.011363650000000001,5,0,satisfied
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,1,-1,beam,1,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
/Users/noeflandre/variability-conceptual-modeling/llm-conceptual-modeling/results/hf-paper-batch-algo3-mistral-current/aggregated/algo3/mistralai__Ministral-3-8B-Instruct-2512/combined/evaluated.csv,subgraph_1_to_subgraph_3,1,1,1,-1,greedy,0,0,Recall,5,0.0,0.0,0.0,0.0,0.0,,0.05,1.96,0.0,5,0,satisfied_zero_mean
