profile,confidence_level,z_score,relative_half_width_target,grouping,algorithm,model,decoding_condition,metric,pair_name,condition_bits,source_finished_run_count,metric_observation_count,condition_count,conditions_needing_more_runs,condition_share_needing_more_runs,conditions_below_expected_replications,observed_runs_min,observed_runs_median,observed_runs_max,required_total_runs_max,additional_runs_needed_total,additional_runs_needed_max
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo1,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,ALL,ALL,ALL,16800,1920,384,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo1,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_6,ALL,ALL,ALL,16800,1920,384,6,0.015625,0,5,5.0,5,76,209,71
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo1,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.2,ALL,ALL,ALL,16800,1920,384,4,0.010416666666666666,0,5,5.0,5,17,40,12
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo1,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.8,ALL,ALL,ALL,16800,1920,384,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo1,mistralai/Ministral-3-8B-Instruct-2512,greedy,ALL,ALL,ALL,16800,1920,384,3,0.0078125,0,5,5.0,5,21,33,16
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo2,Qwen/Qwen3.5-9B,beam_num_beams_2,ALL,ALL,ALL,16800,3840,768,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo2,Qwen/Qwen3.5-9B,beam_num_beams_6,ALL,ALL,ALL,16800,3840,768,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo2,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,ALL,ALL,ALL,16800,3840,768,8,0.010416666666666666,0,5,5.0,5,339,2672,334
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo2,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,ALL,ALL,ALL,16800,3840,768,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo2,Qwen/Qwen3.5-9B,greedy,ALL,ALL,ALL,16800,3840,768,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo2,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,ALL,ALL,ALL,16800,3840,768,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo2,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_6,ALL,ALL,ALL,16800,3840,768,9,0.01171875,0,5,5.0,5,319,1266,314
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo2,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.2,ALL,ALL,ALL,16800,3840,768,9,0.01171875,0,5,5.0,5,345,1605,340
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo2,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.8,ALL,ALL,ALL,16800,3840,768,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,ALL,ALL,ALL,16800,3840,768,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo3,Qwen/Qwen3.5-9B,beam_num_beams_2,ALL,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo3,Qwen/Qwen3.5-9B,beam_num_beams_6,ALL,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo3,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,ALL,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo3,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,ALL,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo3,Qwen/Qwen3.5-9B,greedy,ALL,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo3,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,ALL,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo3,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_6,ALL,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo3,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.2,ALL,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo3,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.8,ALL,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding,algo3,mistralai/Ministral-3-8B-Instruct-2512,greedy,ALL,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,beam_num_beams_2,accuracy,ALL,ALL,16800,480,96,3,0.03125,0,5,5.0,5,2030,2560,2025
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,beam_num_beams_2,f1,ALL,ALL,16800,480,96,3,0.03125,0,5,5.0,5,2030,2249,2025
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,beam_num_beams_2,precision,ALL,ALL,16800,480,96,1,0.010416666666666666,0,5,5.0,5,2030,2025,2025
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,beam_num_beams_2,recall,ALL,ALL,16800,480,96,3,0.03125,0,5,5.0,5,2030,2560,2025
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,beam_num_beams_6,accuracy,ALL,ALL,16800,480,96,1,0.010416666666666666,0,5,5.0,5,903,898,898
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,beam_num_beams_6,f1,ALL,ALL,16800,480,96,1,0.010416666666666666,0,5,5.0,5,903,898,898
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,beam_num_beams_6,precision,ALL,ALL,16800,480,96,1,0.010416666666666666,0,5,5.0,5,903,898,898
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,beam_num_beams_6,recall,ALL,ALL,16800,480,96,1,0.010416666666666666,0,5,5.0,5,903,898,898
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,accuracy,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,f1,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,precision,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,recall,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,accuracy,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,f1,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,precision,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,recall,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,greedy,accuracy,ALL,ALL,16800,480,96,4,0.041666666666666664,0,5,5.0,5,81,266,76
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,greedy,f1,ALL,ALL,16800,480,96,4,0.041666666666666664,0,5,5.0,5,23,65,18
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,greedy,precision,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,Qwen/Qwen3.5-9B,greedy,recall,ALL,ALL,16800,480,96,4,0.041666666666666664,0,5,5.0,5,81,266,76
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,accuracy,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,f1,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,precision,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,recall,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_6,accuracy,ALL,ALL,16800,480,96,2,0.020833333333333332,0,5,5.0,5,76,87,71
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_6,f1,ALL,ALL,16800,480,96,2,0.020833333333333332,0,5,5.0,5,39,35,34
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_6,precision,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_6,recall,ALL,ALL,16800,480,96,2,0.020833333333333332,0,5,5.0,5,76,87,71
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.2,accuracy,ALL,ALL,16800,480,96,2,0.020833333333333332,0,5,5.0,5,17,20,12
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.2,f1,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.2,precision,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.2,recall,ALL,ALL,16800,480,96,2,0.020833333333333332,0,5,5.0,5,17,20,12
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.8,accuracy,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.8,f1,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.8,precision,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.8,recall,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,greedy,accuracy,ALL,ALL,16800,480,96,1,0.010416666666666666,0,5,5.0,5,21,16,16
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,greedy,f1,ALL,ALL,16800,480,96,1,0.010416666666666666,0,5,5.0,5,6,1,1
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,greedy,precision,ALL,ALL,16800,480,96,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo1,mistralai/Ministral-3-8B-Instruct-2512,greedy,recall,ALL,ALL,16800,480,96,1,0.010416666666666666,0,5,5.0,5,21,16,16
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,beam_num_beams_2,accuracy,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,beam_num_beams_2,f1,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,beam_num_beams_2,precision,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,beam_num_beams_2,recall,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,beam_num_beams_6,accuracy,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,beam_num_beams_6,f1,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,beam_num_beams_6,precision,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,beam_num_beams_6,recall,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,accuracy,ALL,ALL,16800,960,192,2,0.010416666666666666,0,5,5.0,5,339,668,334
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,f1,ALL,ALL,16800,960,192,2,0.010416666666666666,0,5,5.0,5,339,668,334
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,precision,ALL,ALL,16800,960,192,2,0.010416666666666666,0,5,5.0,5,339,668,334
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,recall,ALL,ALL,16800,960,192,2,0.010416666666666666,0,5,5.0,5,339,668,334
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,accuracy,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,f1,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,precision,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,recall,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,greedy,accuracy,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,greedy,f1,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,greedy,precision,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,Qwen/Qwen3.5-9B,greedy,recall,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,accuracy,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,f1,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,precision,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,recall,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_6,accuracy,ALL,ALL,16800,960,192,3,0.015625,0,5,5.0,5,319,519,314
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_6,f1,ALL,ALL,16800,960,192,3,0.015625,0,5,5.0,5,152,228,147
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_6,precision,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_6,recall,ALL,ALL,16800,960,192,3,0.015625,0,5,5.0,5,319,519,314
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.2,accuracy,ALL,ALL,16800,960,192,3,0.015625,0,5,5.0,5,345,665,340
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.2,f1,ALL,ALL,16800,960,192,3,0.015625,0,5,5.0,5,137,275,132
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.2,precision,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.2,recall,ALL,ALL,16800,960,192,3,0.015625,0,5,5.0,5,345,665,340
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.8,accuracy,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.8,f1,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.8,precision,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,contrastive_penalty_alpha_0.8,recall,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,accuracy,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,f1,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,precision,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo2,mistralai/Ministral-3-8B-Instruct-2512,greedy,recall,ALL,ALL,16800,960,192,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo3,Qwen/Qwen3.5-9B,beam_num_beams_2,recall,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo3,Qwen/Qwen3.5-9B,beam_num_beams_6,recall,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo3,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.2,recall,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo3,Qwen/Qwen3.5-9B,contrastive_penalty_alpha_0.8,recall,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo3,Qwen/Qwen3.5-9B,greedy,recall,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
ci90_rel05,0.9,1.645,0.05,algorithm_model_decoding_metric,algo3,mistralai/Ministral-3-8B-Instruct-2512,beam_num_beams_2,recall,ALL,ALL,16800,240,48,0,0.0,0,5,5.0,5,5,0,0
