source_input,algorithm,model,Repetition,Depth,Example,Counter-Example,Number of Words,metric,value
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,2,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,2,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,1,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,1,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,1,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,2,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,2,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,2,1,1,3,Recall,1.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,1,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,1,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,1,1,1,5,Recall,1.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,2,1,1,5,Recall,0.409091
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,2,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,0,2,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,1,3,Recall,1.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,1,5,Recall,0.409091
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,-1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,-1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,-1,5,Recall,0.409091
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,1,3,Recall,1.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,1,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,1,2,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,-1,5,Recall,0.409091
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,-1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,1,5,Recall,0.409091
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,-1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,-1,5,Recall,1.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,1,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,2,2,1,1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,1,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,1,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,1,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,2,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,2,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,2,-1,-1,3,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,1,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,1,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,1,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,2,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,2,-1,-1,5,Recall,0.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,2,-1,-1,5,Recall,1.0
data/results/algo3/deepseek-chat-v3.1/evaluated/method3_results_evaluated_deepseek-chat-v3.1.csv,algo3,deepseek-chat-v3.1,3,1,-1,1,3,Recall,0.0
