algorithm,model,source_input,factor,metric,minus1_mean,plus1_mean,winner,delta_plus1_minus1
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,Convergence,accuracy,0.7652285940803383,0.9120309196617337,plus1,0.1468023255813954
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,Convergence,recall,0.001201923076923075,0.006610576923076912,plus1,0.0054086538461538365
algo2,gemini-2.0-flash-exp,data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,Convergence,precision,0.010714285714285713,0.09260531135531135,plus1,0.08189102564102563
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,Convergence,accuracy,0.9388189935064937,0.9311079545454545,minus1,-0.007711038961039196
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,Convergence,recall,0.20559210526315783,0.21052631578947362,plus1,0.004934210526315791
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,Convergence,precision,0.5133195797258298,0.4004597934744994,minus1,-0.11285978625133036
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,Convergence,accuracy,0.8974771594684385,0.8975809800664452,plus1,0.00010382059800662091
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,Convergence,recall,0.027542372881355866,0.03654661016949146,plus1,0.009004237288135597
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,Convergence,precision,0.2846015963203463,0.3316475191475191,plus1,0.04704592282717279
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,Convergence,accuracy,0.9439085623678647,0.9432148520084567,minus1,-0.0006937103594080174
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,Convergence,recall,0.058293269230769176,0.04807692307692302,minus1,-0.01021634615384616
algo2,gemini-2.5-pro,data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,Convergence,precision,0.4250276633089133,0.402180892024642,minus1,-0.02284677128427126
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,Convergence,accuracy,0.9262784090909092,0.9152800324675324,minus1,-0.010998376623376771
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,Convergence,recall,0.32072368421052627,0.3733552631578947,plus1,0.05263157894736842
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,Convergence,precision,0.4298468949294708,0.3658816878257546,minus1,-0.06396520710371623
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,Convergence,accuracy,0.8988787375415284,0.8951411960132891,minus1,-0.003737541528239241
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,Convergence,recall,0.042902542372881304,0.045021186440677916,plus1,0.0021186440677966115
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,Convergence,precision,0.3686096889221889,0.2943735038718591,minus1,-0.0742361850503298
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,Convergence,accuracy,0.9410346194503172,0.9332056025369979,minus1,-0.007829016913319276
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,Convergence,recall,0.09134615384615379,0.11117788461538455,plus1,0.019831730769230768
algo2,gpt-5,data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,Convergence,precision,0.38976583611551285,0.28496488314207113,minus1,-0.10480095297344172
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,Convergence,accuracy,0.942877435064935,0.8840300324675324,minus1,-0.05884740259740262
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,Convergence,recall,0.13815789473684206,0.11184210526315785,minus1,-0.02631578947368421
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,Convergence,precision,0.6578125,0.740625,plus1,0.08281249999999996
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,Convergence,accuracy,0.22503114617940198,0.8159260797342192,plus1,0.5908949335548171
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,Convergence,recall,0.0010593220338983031,0.011122881355932175,plus1,0.010063559322033871
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,Convergence,precision,0.020833333333333332,0.19427083333333334,plus1,0.1734375
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,Convergence,accuracy,0.4128237315010571,0.4676929175475687,plus1,0.05486918604651159
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,Convergence,recall,0.0048076923076923,0.018629807692307678,plus1,0.013822115384615377
algo2,openai-gpt-4o,data/results/algo2/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,Convergence,precision,0.06361607142857142,0.14378720238095238,plus1,0.08017113095238096
