algorithm,model,source_input,factor,metric,minus1_mean,plus1_mean,winner,delta_plus1_minus1
algo1,gpt-5,data/results/algo1/gpt-5/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.3881578947368421,0.3388157894736842,minus1,-0.04934210526315791
algo1,gpt-5,data/results/algo1/gpt-5/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.2517284716220021,0.27056370444282113,plus1,0.018835232820819003
algo1,gpt-5,data/results/algo1/gpt-5/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.885797342192691,0.8934800664451827,plus1,0.007682724252491724
algo1,gpt-5,data/results/algo1/gpt-5/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.18008474576271186,0.16207627118644066,minus1,-0.018008474576271194
algo1,gpt-5,data/results/algo1/gpt-5/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.3559802738697896,0.41192917188805345,plus1,0.05594889801826386
algo1,gpt-5,data/results/algo1/gpt-5/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.9336020084566596,0.9337341437632135,plus1,0.00013213530655387107
algo1,gpt-5,data/results/algo1/gpt-5/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.1850961538461538,0.17908653846153844,minus1,-0.006009615384615363
algo1,gpt-5,data/results/algo1/gpt-5/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.32508723430044684,0.3252660634219089,plus1,0.0001788291214620541
algo1,openai-gpt-4o,data/results/algo1/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,Explanation,accuracy,0.9318181818181819,0.9310064935064934,minus1,-0.0008116883116884299
algo1,openai-gpt-4o,data/results/algo1/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,Explanation,recall,0.11184210526315785,0.10855263157894732,minus1,-0.0032894736842105365
algo1,openai-gpt-4o,data/results/algo1/openai-gpt-4o/evaluated/metrics_sg1_sg2.csv,Explanation,precision,0.3467013888888889,0.37369505494505495,plus1,0.026993666056166044
algo1,openai-gpt-4o,data/results/algo1/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,Explanation,accuracy,0.8935838870431894,0.8999377076411961,plus1,0.00635382059800671
algo1,openai-gpt-4o,data/results/algo1/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,Explanation,recall,0.06249999999999996,0.0508474576271186,minus1,-0.01165254237288136
algo1,openai-gpt-4o,data/results/algo1/openai-gpt-4o/evaluated/metrics_sg2_sg3.csv,Explanation,precision,0.333188166000666,0.42428075396825393,plus1,0.09109258796758796
algo1,openai-gpt-4o,data/results/algo1/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,Explanation,accuracy,0.9417943974630021,0.9420586680761099,plus1,0.00026427061310785316
algo1,openai-gpt-4o,data/results/algo1/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,Explanation,recall,0.0504807692307692,0.04206730769230764,minus1,-0.008413461538461557
algo1,openai-gpt-4o,data/results/algo1/openai-gpt-4o/evaluated/metrics_sg3_sg1.csv,Explanation,precision,0.3020179473304473,0.3472645308123249,plus1,0.0452465834818776
